made_shot,region,defender_distance
0,Mid-range,5.504740062782258
0,Near hoop,3.129779080015074
0,Paint,3.546638779154144
0,Paint,4.733170872903275
1,Mid-range,5.274524441928389
1,Paint,4.319696742608208
0,Mid-range,5.504671425489448
0,Corner Three,8.11488857545191
0,Paint,0.6479632879260971
0,Mid-range,4.954761839241121
0,Arc Three,3.6022423684421896
0,Corner Three,4.725624950205001
1,Near hoop,3.6057678319603452
1,Corner Three,5.916537128168802
1,Near hoop,1.7743473236376237
1,Near hoop,3.773192414719926
1,Paint,5.032454290482925
1,Arc Three,8.160628532196526
0,Arc Three,3.786997918153645
0,Corner Three,6.592773904488157
0,Near hoop,3.5257392870148534
1,Mid-range,1.5675391476132283
0,Corner Three,3.014651824970827
1,Paint,0.13833757334867458
0,Near hoop,1.3415482033084025
1,Mid-range,5.510816658400098
1,Near hoop,2.173339265278202
0,Mid-range,8.54527977351825
1,Arc Three,5.657760249939903
0,Near hoop,4.18323206730155
0,Arc Three,6.021151174667512
0,Paint,2.4152953954744305
1,Mid-range,5.4764317729886764
0,Mid-range,3.457111884926492
1,Near hoop,3.291886029998619
0,Arc Three,5.576599714162745
1,Mid-range,3.3797699559585395
0,Paint,2.930603860520902
1,Near hoop,3.556290828377228
0,Arc Three,3.7717417312562613
1,Paint,2.653471830225447
1,Paint,3.4562187542023444
1,Corner Three,7.792984519643293
1,Corner Three,6.2245901456240516
0,Near hoop,1.494059043344673
0,Arc Three,5.291681286850142
0,Arc Three,3.968689140068801
0,Mid-range,6.109410593052329
0,Corner Three,7.611412184831403
0,Corner Three,3.6571228316396462
1,Near hoop,2.544998033339123
0,Paint,3.325237554897395
0,Mid-range,4.2422835236815555
1,Arc Three,4.5209204463250625
0,Mid-range,5.377914019784994
0,Paint,3.880210034366701
1,Paint,2.5575576965730407
1,Paint,2.1949293947642143
0,Arc Three,5.3851230130517855
0,Paint,2.3055484682391754
1,Mid-range,7.481338493725572
1,Corner Three,7.322162182320189
1,Near hoop,2.145453347570164
1,Mid-range,3.1167958856011104
0,Corner Three,5.013970595177041
1,Paint,3.9784225474929142
0,Mid-range,4.3150094346710315
0,Paint,4.24101801468704
0,Arc Three,5.064203118013732
1,Mid-range,5.953378293918509
1,Arc Three,5.6960614888271675
0,Corner Three,7.269898008865047
1,Paint,1.9327628557326966
1,Paint,0.8336561198119999
1,Corner Three,6.2857902584241545
1,Paint,4.016888299417847
1,Arc Three,4.093819211347766
0,Arc Three,4.765783456767631
1,Near hoop,0.9735195265119228
1,Paint,2.2561930301284
0,Near hoop,1.1863079754009918
0,Arc Three,1.772156894408621
1,Near hoop,5.136962023462893
1,Arc Three,7.919204851631253
1,Paint,3.0426202697346256
0,Corner Three,8.484194715221937
0,Near hoop,1.3538817813236166
1,Corner Three,6.356647353636978
0,Mid-range,6.159865315946452
0,Arc Three,6.103171708456185
1,Mid-range,6.765202270752886
